0,1
Borderline Personality Disorder,350
Osteoarthritis,132
Acute Myeloid Leukemia,130
Non-Hodgkin's Lymphoma,130
Bipolar Disorder,126
Muscle Pain,125
Angina,121
Renal Cell Carcinoma,117
Skin or Soft Tissue Infection,112
Tinea Corporis,108
COPD,104
High Cholesterol,100
Schizophrenia,99
HIV Infection,90
Multiple Myeloma,90
Psoriasis,90
Acne,88
Urinary Tract Infection,84
Sinusitis,84
Eczema,80
Colorectal Cancer,80
Obsessive Compulsive Disorder,80
Hodgkin's Lymphoma,78
Insomnia,78
Breast Cancer,77
Atopic Dermatitis,75
Anthrax,72
Vaginal Yeast Infection,72
Tinea Cruris,72
GERD,70
Post Traumatic Stress Disorder,70
Chronic Myelogenous Leukemia,65
Otitis Media,65
Anxiety,64
Reflex Sympathetic Dystrophy Syndrome,64
Aspiration Pneumonia,60
Tinea Pedis,60
Migraine,60
Chronic Fatigue Syndrome,60
Benign Prostatic Hyperplasia,60
Urinary Incontinence,60
Pancreatic Cancer,60
Oral Thrush,60
Acute Lymphocytic Leukemia,56
Atrial Fibrillation,55
ADHD (Attention Deficit Hyperactivity Disorder),54
Clostridioides difficile Infection,54
Cancer,52
"High Cholesterol, Familial Heterozygous",50
Mitral Valve Prolapse,49
Chronic Lymphocytic Leukemia,48
Endometrial Cancer,48
Muscle Spasm (Involuntary Hypertonicity),48
Prostatitis,48
Major Depressive Disorder,48
Restless Legs Syndrome,48
Left Ventricular Dysfunction,48
Seizures (Convulsions),45
Pneumonia,45
Bursitis,45
Hyperhidrosis,45
Rheumatoid Arthritis,44
Asthma,44
"Conjunctivitis, Bacterial",44
Upper Respiratory Tract Infection,44
Back Pain,40
Bacterial Skin Infection,40
Deep Vein Thrombosis,40
Persistent Depressive Disorder,40
Nonalcoholic Fatty Liver Disease,40
Nausea/Vomiting,40
Skin and Structure Infection,39
"Conjunctivitis, Allergic",36
Edema,36
Non-Small Cell Lung Cancer,36
Melanoma,36
Postpartum Depression,36
Urinary Frequency,36
Diarrhea,36
High Blood Pressure (Hypertension),36
Head Lice,36
Idiopathic Thrombocytopenic Purpura,36
Juvenile Rheumatoid Arthritis,36
Somatoform Pain Disorder,36
Ventricular Tachycardia,36
Temporomandibular Joint Disorder,36
Methicillin-Resistant Staphylococcus Aureus Infection,35
Testicular Cancer,35
Otitis Externa,35
Dermal Ulcer,33
Ovarian Cancer,33
Cough,33
Hepatitis C,33
Narcolepsy,33
Urticaria,33
Pruritus,33
Panic Disorder,33
Raynaud's Syndrome,33
Abnormal Uterine Bleeding,32
Alcohol Withdrawal,32
Alzheimer's Disease,32
Plague,32
Postural Orthostatic Tachycardia Syndrome,32
Systemic Lupus Erythematosus,32
Soft Tissue Sarcoma,30
Amebiasis,30
Arrhythmia,30
Coronary Artery Disease,30
Urinary Tract Stones,30
Bladder Infection,30
Brain Tumor,30
Prostate Cancer,30
Facial Wrinkles,30
Heart Failure (Congestive Heart Failure),30
Coccidioidomycosis,30
Nephrotic Syndrome,30
Diaper Rash,30
Hyperekplexia,30
"High Cholesterol, Familial Homozygous",30
Influenza,30
"Hyperlipoproteinemia Type IIa, Elevated LDL",30
"Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL",30
Strep Throat (Streptococcal Pharyngitis),30
Irritable Bowel Syndrome,30
Obesity,30
Pulmonary Hypertension,30
Rhinorrhea,30
Lice,28
Bone infection (Osteomyelitis),28
Cutaneous T-cell Lymphoma,28
Small Cell Lung Cancer,28
Warts,28
"Diabetes, Type 2",28
Dissociative Identity Disorder,28
Drowsiness (Hypersomnia),28
Emergency Contraception (Postcoital Contraception),28
Laryngopharyngeal Reflux,28
Hepatocellular Carcinoma,28
Migraine Prevention (Migraine Prophylaxis),28
"Asthma, acute",27
Allergic Rhinitis,27
Allergies,27
Diabetic Peripheral Neuropathy,27
Bacterial Infection,26
Diabetic Kidney Disease (Diabetic Nephropathy),26
Aseptic Necrosis,25
Wilms' Tumor (Nephroblastoma),25
Chronic Myofascial Pain,25
Erectile Dysfunction,25
Anxiety and Stress,24
Alopecia,24
Iron Deficiency Anemia,24
Generalized Anxiety Disorder,24
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),24
Basal Cell Carcinoma,24
Osteosarcoma,24
Osteoporosis,24
Cutaneous Candidiasis,24
Hepatitis B,24
Constipation,24
Traveler's Diarrhea,24
"Onychomycosis, Toenail",24
Gender Dysphoria,24
Inflammatory Bowel Disease,24
Kidney Infections (Pyelonephritis),24
Polycystic Ovary Syndrome,24
Plaque Psoriasis,24
Lymphoma,22
Tinea Versicolor,22
Premenstrual Dysphoric Disorder,22
Supraventricular Tachycardia,22
Autism,21
Interstitial Cystitis,21
Burning Mouth Syndrome (Glossopyrosis),21
Indigestion,21
"Hyperlipoproteinemia Type IV, Elevated VLDL",21
Mania,21
Streptococcal Infection,21
Acute Otitis Externa,20
Thyroid Cancer,20
"Anemia, Sickle Cell",20
Bartonellosis,20
Primary Biliary Cholangitis,20
"Breast Cancer, Metastatic",20
Thrombotic/Thromboembolic Disorder,20
Cervical Cancer,20
Stomach Cancer,20
Hairy Cell Leukemia,20
Ischemic Stroke,20
Condylomata Acuminata,20
Paranoid Disorder,20
Dental Abscess,20
"Diabetes, Type 1",20
Nonketotic Hyperosmolar Syndrome,20
Fibromyalgia,20
Human Papilloma Virus,20
"Hypogonadism, Male",20
Total Parenteral Nutrition,20
Premenstrual Syndrome,20
Glomerulonephritis,18
Alport Syndrome,18
"Sexual Dysfunction, SSRI Induced",18
Prosthetic Heart Valves - Thrombosis Prophylaxis,18
Body Dysmorphic Disorder,18
Cervical Dystonia (Spasmodic Torticollis),18
Trophoblastic Disease,18
Cold Sores (Herpes Simplex Labialis),18
Scleroderma,18
Dermatological Disorders,18
Dietary Supplementation,18
Diffuse Large B-Cell Lymphoma,18
"Onychomycosis, Fingernail",18
Stomach Ulcer (Gastric Ulcer),18
Heart Attack (Myocardial Infarction),18
Ramsay Hunt Syndrome,18
Multiple Sclerosis,18
Periodic Limb Movement Disorder,18
Social Anxiety Disorder,18
Trigeminal Neuralgia,18
Rosacea,16
Allergic Reactions,16
"Aspergillosis, Invasive",16
"Asthma, Maintenance",16
Bladder Cancer,16
Nasal Congestion,16
Esophageal Candidiasis,16
Systemic Sclerosis,16
Cold Symptoms,16
Ulcerative Colitis,16
Opioid-Induced Constipation,16
"Gonococcal Infection, Uncomplicated",16
Underactive Thyroid (Hypothyroidism),16
Malaria Prevention (Malaria Prophylaxis),16
Positron Emission Tomography Imaging,16
Seizure Prevention (Seizure Prophylaxis),16
Tendonitis,15
AIDS Related Wasting,15
Ascariasis,15
Campylobacter Gastroenteritis,15
Crohn's Disease,15
Cushing's Syndrome,15
Fatigue,15
Tinea Capitis,15
Hereditary Angioedema,15
Hypotension,15
Linear IgA Disease,15
Systemic Mastocytosis,15
Meningitis,15
Frozen Shoulder,14
Myelofibrosis,14
Pseudomembranous Colitis,14
Bacterial Vaginitis,14
Vertigo,14
Leukemia,14
"COPD, Maintenance",14
"Crohn's Disease, Acute",14
Ehrlichiosis,14
Peritoneal Cancer,14
Graft-versus-host disease,14
Headache,14
Hemorrhoids,14
Intraabdominal Infection,14
Keratosis,14
Lichen Sclerosus,14
Neuralgia,14
Peripheral Neuropathy,14
Pemphigus,14
Postherpetic Neuralgia,14
Rabbit Fever (Tularemia),14
Uveitis,14
Anesthesia,13
Bacteremia,13
Bullous Pemphigoid,13
Endocarditis,13
Helicobacter Pylori Infection,13
"Melanoma, Metastatic",13
Peritonitis,13
Psoriatic Arthritis,13
Vulvodynia,13
Alkylating Agent Cystitis,12
Polycystic Kidney Disease,12
Thalassemia,12
Hookworm Infection (Necator or Ancylostoma),12
Antiphospholipid Syndrome,12
Aphthous Ulcer,12
Occipital Neuralgia,12
Barrett's Esophagus,12
Gas,12
Benign Essential Tremor,12
Berylliosis,12
Birth Control (Contraception),12
Overactive Bladder,12
Bleeding Disorder,12
Bronchitis,12
Squamous Cell Carcinoma,12
Cardiovascular Risk Reduction,12
Chlamydia Infection,12
Nongonococcal Urethritis,12
"COPD, Acute",12
Renal Failure,12
Cough and Nasal Congestion,12
Leishmaniasis,12
Excoriation Disorder,12
Dermatitis,12
Dry Eye Disease (Keratoconjunctivitis Sicca),12
Gastritis/Duodenitis,12
Dysautonomia,12
Period Pain (Dysmenorrhea),12
Skin Rash,12
Eye Redness,12
Febrile Neutropenia,12
Influenza Prophylaxis,12
"Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL",12
Swine Flu,12
Hiatal Hernia,12
Keratitis,12
Lemierre's Syndrome,12
Lichen Simplex Chronicus,12
Mantle Cell Lymphoma,12
Opiate Withdrawal,12
Pemphigoid,12
Pityriasis rubra pilaris,12
Seborrheic Dermatitis,12
Small Fiber Neuropathy,12
Spondyloarthritis,12
Tonsillitis/Pharyngitis,12
"Breast Cancer, Palliative",11
Candidemia,11
"Crohn's Disease, Maintenance",11
Hot Flashes,11
Hyperlipoproteinemia,11
Hypertensive Emergency,11
Intraocular Hypertension,11
Local Anesthesia,11
"Nausea/Vomiting, Chemotherapy Induced",11
Pain,11
Schizoaffective Disorder,11
Septicemia,11
Surgical Prophylaxis,11
Tardive Dyskinesia,11
"Tuberculosis, Active",11
Abortion,10
Actinomycosis,10
Acute Lymphoblastic Leukemia,10
Dercum's Disease,10
Anal Itching,10
Diffuse Idiopathic Skeletal Hyperostosis,10
Ankylosing Spondylitis,10
Kaposi's Sarcoma,10
Varicella-Zoster,10
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,10
Lyme Disease,10
Cluster Headaches,10
CMV Prophylaxis,10
CMV Retinitis,10
Cyclothymic Disorder,10
Cystic Fibrosis,10
Herpetic Keratitis,10
Depression,10
Diabetic Ketoacidosis,10
"Tuberculosis, Extrapulmonary",10
Epiglottitis,10
Erosive Esophagitis,10
Eye Conditions,10
Glioblastoma Multiforme,10
"Glaucoma, Open Angle",10
"Gonococcal Infection, Disseminated",10
Head and Neck Cancer,10
Hepatitis B Prevention (Hepatitis B Prophylaxis),10
Hypertriglyceridemia,10
Hypokalemia,10
Intermittent Explosive Disorder,10
Insulin Resistance Syndrome (Metabolic Syndrome),10
Plantar Fibromatosis,10
Motion Sickness,10
Nonoccupational Exposure,10
Nosocomial Pneumonia,10
Occupational Exposure,10
Ophthalmic Surgery,10
Parkinson's Disease,10
Sarcoidosis,10
"Ulcerative Colitis, Active",10
Respiratory Distress Syndrome,9
Still's Disease,9
Amenorrhea,9
Angina Pectoris Prophylaxis,9
Neurofibromatosis,9
Hyperbilirubinemia,9
Factor IX Deficiency,9
Chronic Pain,9
Conjunctivitis,9
Diagnosis and Investigation,9
Duodenal Ulcer,9
Dyspareunia,9
"Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL",9
Glaucoma,9
Hypocalcemia,9
"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)",9
Inflammatory Conditions,9
Iritis,9
Joint Infection,9
Keratoconjunctivitis,9
Malaria,9
"Mycobacterium avium-intracellulare, Treatment",9
Nocturnal Leg Cramps,9
Night Terrors,9
Opiate Dependence,9
"Organ Transplant, Rejection Prophylaxis",9
Pelvic Inflammatory Disease,9
Peptic Ulcer,9
Peripheral Arterial Disease,9
Pinworm Infection (Enterobius vermicularis),9
Postoperative Ocular Inflammation,9
Shock,9
Sinus Symptoms,9
Tourette's Syndrome,9
Vitamin/Mineral Supplementation and Deficiency,9
Abdominal Distension,8
Adrenal Insufficiency,8
Adrenogenital Syndrome,8
Trypanosomiasis,8
Amyotrophic Lateral Sclerosis,8
Anal Cancer,8
Anaphylaxis,8
Pulmonary Fibrosis,8
Atrophic Vaginitis,8
Head Injury,8
Radiculopathy,8
Menopausal Disorders,8
"Diarrhea, Chronic",8
Cogan's Syndrome,8
"Constipation, Chronic",8
Merkel Cell Carcinoma,8
Cyclic Vomiting Syndrome,8
Prevention of Bladder infection (Cystitis Prophylaxis),8
Deep Neck Infection,8
"Deep Vein Thrombosis, Prophylaxis",8
Lewy Body Dementia,8
Dermatomyositis,8
Diabetic Macular Edema,8
Fish Tapeworm Infection (Diphyllobothrium latum),8
Xerostomia,8
Endometriosis,8
Epilepsy,8
Eustachian Tube Dysfunction,8
Fever,8
Follicular Lymphoma,8
Granulomatosis with Polyangiitis,8
Herpes Zoster,8
Whipworm Infection,8
"Ischemic Stroke, Prophylaxis",8
Light Sedation,8
Loeffler's Syndrome (Pulmonary Eosinophilia),8
Mycosis Fungoides,8
Neurosarcoidosis,8
Pertussis Prophylaxis,8
Pneumocystis Pneumonia,8
Pre-Exposure Prophylaxis,8
Prevention of Osteoporosis,8
Pulmonary Embolism,8
Sedation,8
Solid Tumors,8
Tetanus Prophylaxis,8
Thrombocythemia,8
Toxoplasmosis,8
Trichotillomania,8
Zollinger-Ellison Syndrome,8
Acute Nonlymphocytic Leukemia,7
Anthrax Prophylaxis,7
Auditory Processing Disorder,7
Ascites,7
Atrial Flutter,7
Bejel,7
Bowel Preparation,7
"Breast Cancer, Adjuvant",7
Bronchiectasis,7
Celiac Disease,7
Diphtheria Prophylaxis,7
Duodenal Ulcer Prophylaxis,7
Endometritis,7
Evan's Syndrome,7
Female Infertility,7
Gout,7
Gouty Arthritis,7
Hypercalcemia of Malignancy,7
Hyperkalemia,7
Impetigo,7
Juvenile Idiopathic Arthritis,7
Myasthenia Gravis,7
Paronychia,7
Pharyngitis,7
Postmenopausal Symptoms,7
Psychosis,7
Sciatica,7
Sepsis,7
Smoking Cessation,7
Transverse Myelitis,7
Urothelial Carcinoma,7
Weight Loss,7
CNS Infection,6
Acute Coronary Syndrome,6
Porphyria,6
Acute Promyelocytic Leukemia,6
Addison's Disease,6
Alcoholic Liver Damage,6
Cutaneous Larva Migrans,6
Androgenetic Alopecia,6
Anemia Associated with Chronic Renal Failure,6
Anorexia Nervosa,6
Avian Influenza,6
Balanoposthitis,6
Enuresis,6
Behcet's Disease,6
Pseudotumor Cerebri,6
Hemangioma,6
Blastomycosis,6
Blepharitis,6
Bone Marrow Transplantation,6
Respiratory Syncytial Virus,6
Brucellosis,6
Bulimia,6
Fallopian Tube Cancer,6
Meningeal Leukemia,6
Cryopyrin-Associated Periodic Syndromes,6
Diabetes Insipidus,6
Cesarean Section,6
Cholecystitis,6
New Daily Persistent Headache,6
Chronic Idiopathic Constipation,6
Cluster-Tic Syndrome,6
CNS Magnetic Resonance Imaging,6
Noninfectious Colitis,6
Myotonia Congenita,6
Cryptococcosis,6
Cryptosporidiosis,6
Cutaneous Bacillus anthracis,6
Cutaneous Mastocytosis,6
Synovitis,6
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,6
Depressive Psychosis,6
Dermatitis Herpetiformis,6
Dermatologic Lesion,6
"Diarrhea, Acute",6
Esophageal Spasm,6
Dog Tapeworm Infection (Dipylidium caninum),6
Dravet Syndrome,6
Dry Skin (Xerosis),6
Dwarf Tapeworm Infection (Hymenolepis nana),6
"Epididymitis, Sexually Transmitted",6
Hordeolum,6
Hypoactive Sexual Desire Disorder,6
Forehead Lines,6
Ovarian Cysts,6
Gastric Cancer,6
Haemophilus influenzae Prophylaxis,6
Huntington's Disease,6
Hyperphosphatemia of Renal Failure,6
Hypoestrogenism,6
Hypomagnesemia,6
Hypoparathyroidism,6
Idiopathic Pulmonary Fibrosis,6
Intertrigo,6
Kawasaki Disease (Mucocutaneous Lymph Node Syndrome),6
Lichen Planus,6
Toxic Epidermal Necrolysis,6
"Lyme Disease, Arthritis",6
"Lyme Disease, Neurologic",6
Macular Degeneration,6
Myelodysplastic Syndrome,6
Transient Ischemic Attack,6
Minor Skin Irritation,6
Nausea/Vomiting of Pregnancy,6
Osteolytic Bone Lesions of Multiple Myeloma,6
Nasal Polyps,6
"Nausea/Vomiting, Postoperative",6
Neuroendocrine Carcinoma,6
Neuropathic Pain,6
Oophorectomy,6
Paget's Disease,6
Perioral Dermatitis,6
Peripheral T-cell Lymphoma,6
Pertussis,6
Pheochromocytoma,6
Pneumocystis Pneumonia Prophylaxis,6
Prevention of Cardiovascular Disease,6
Prevention of Perinatal Group B Streptococcal Disease,6
Prevention of Thromboembolism in Atrial Fibrillation,6
Primary Ovarian Failure,6
Severe Mood Dysregulation,6
Sore Throat,6
Status Epilepticus,6
Syringomyelia,6
Tetanus,6
Thrombocytopenia,6
Topical Disinfection,6
"Toxoplasmosis, Prophylaxis",6
Trichostrongylosis,6
Wolff-Parkinson-White Syndrome,6
Acromegaly,5
Erythromelalgia,5
Adrenocortical Insufficiency,5
Agitation,5
Allergic Urticaria,5
Anemia,5
Anesthetic Adjunct,5
Atherosclerosis,5
Atrophic Urethritis,5
Tinea Barbae,5
Muscle Twitching (Fasciculations),5
"Burns, External",5
Echocardiography,5
Chancroid,5
Chorioretinitis,5
Neuronal Ceroid Lipofuscinosis,5
Corneal Ulcer,5
"Cryptococcal Meningitis, Immunosuppressed Host",5
Cyanide Poisoning,5
Dandruff,5
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,5
Dumping Syndrome,5
Enterocolitis,5
Fungal Infection Prophylaxis,5
Onychomycosis,5
Gastroenteritis,5
Gaucher Disease,5
Giardiasis,5
Gonadotropin Inhibition,5
"Gout, Acute",5
Granuloma Inguinale,5
Hemophagocytic Lymphohistiocytosis,5
Hemophilia A,5
Herpes Simplex,5
Hyperimmunoglobulin D Syndrome,5
Hyperthyroidism,5
Iridocyclitis,5
Lennox-Gastaut Syndrome,5
"Lyme Disease, Carditis",5
"Lyme Disease, Erythema Chronicum Migrans",5
"Meningitis, Meningococcal",5
Meningococcal Meningitis Prophylaxis,5
Mycoplasma Pneumonia,5
"Myocardial Infarction, Prophylaxis",5
Neuroblastoma,5
Neurosyphilis,5
Ovulation Induction,5
Parkinsonian Tremor,5
Periodontitis,5
Pneumonia with Cystic Fibrosis,5
Poliomyelitis Prophylaxis,5
Precocious Puberty,5
Pupillary Dilation,5
Shigellosis,5
STD Prophylaxis,5
Stress Ulcer Prophylaxis,5
"Syphilis, Early",5
"Tuberculosis, Prophylaxis",5
"Ulcerative Colitis, Maintenance",5
Fecal Incontinence,4
Adenosine Deaminase Deficiency,4
Neutropenia,4
Alcohol Dependence,4
Allergic Asthma,4
Amyloidogenic Transthyretin Amyloidosis,4
Anaplastic Oligodendroglioma,4
"Anemia, Megaloblastic",4
Anorexia,4
Aplastic Anemia,4
Asystole,4
Autoimmune Hepatitis,4
Binge Eating Disorder,4
Beef Tapeworm Infection (Taenia saginata),4
Osteolytic Bone Metastases of Solid Tumors,4
Botulism,4
Bradyarrhythmia,4
"Breast Cancer, Prevention",4
Bronchogenic Carcinoma,4
Bronchospasm Prophylaxis,4
Malignant Pleural Mesothelioma,4
Candida Urinary Tract Infection,4
Cerebral Arteriography,4
Cholera,4
Choriocarcinoma,4
Chromomycosis,4
Dementia,4
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),4
Chronic Otitis Media,4
Liver Fluke (Clornorchis sinensis),4
CMV Gastroenteritis,4
CMV Infection,4
Ichthyosis,4
Congenital Syphilis,4
Induced Hypotension,4
Minor Cuts,4
Oral and Dental Conditions,4
"Diabetes, Type 3c",4
Dientamoeba fragilis,4
Diverticulitis,4
Dupuytren's contracture,4
Lambert-Eaton Myasthenic Syndrome,4
Eosinophilic Esophagitis,4
Endoscopy or Radiology Premedication,4
Erythroblastopenia,4
Esophageal Carcinoma,4
Euvolemic Hyponatremia,4
Ewing's Sarcoma,4
Expectoration (Mucolysis),4
Extrapyramidal Reaction,4
Factor VII Deficiency,4
Eye Redness/Itching,4
Eyelash Hypotrichosis,4
Facial Lipoatrophy,4
Familial Cold Autoinflammatory Syndrome,4
Tumor Necrosis Factor Receptor Associated Periodic Syndrome,4
"Fusospirochetosis, Trench Mouth",4
Gastrointestinal Hemorrhage,4
Gastrointestinal Stromal Tumor,4
Tenosynovial Giant Cell Tumor,4
Gingivitis,4
Infectious Mononucleosis,4
Malignant Glioma,4
Tympanostomy Tube Placement Surgery,4
Mucopolysaccharidosis Type VII,4
Menorrhagia,4
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",4
"Herpes Zoster, Prophylaxis",4
Hiccups,4
Hirsutism,4
Histoplasmosis,4
Hyperhomocysteinemia,4
Hypoglycemia,4
Hypophosphatemia,4
ICU Agitation,4
Waldenström Macroglobulinemia,4
Legionella Pneumonia,4
Light Anesthesia,4
Lymphocytic Colitis,4
Macular Edema,4
Melioidosis,4
Muckle Wells Syndrome,4
Mucositis,4
Multiple Endocrine Adenomas,4
"Mycobacterium avium-intracellulare, Prophylaxis",4
Neutropenia Associated with Chemotherapy,4
Niacin Deficiency,4
Nonobstructive Oliguria,4
NSAID-Induced Ulcer Prophylaxis,4
Ocular Rosacea,4
Organophosphate Poisoning,4
Pain/Fever,4
Percutaneous Coronary Intervention,4
Perimenopausal Symptoms,4
Phenylketonuria,4
Pork Tapeworm Infection (Taenia solium),4
Postpartum Bleeding,4
Premature Labor,4
Prevention of Hypokalemia,4
Primary Immunodeficiency Syndrome,4
Transurethral Prostatectomy,4
Psittacosis,4
Q Fever,4
Radiation Emergency,4
Rat-bite Fever,4
"Refraction, Assessment",4
Renal Transplant,4
Reversal of Nondepolarizing Muscle Relaxants,4
Rheumatic Fever Prophylaxis,4
Salmonella Gastroenteritis,4
Small Bowel Bacterial Overgrowth,4
Scabies,4
Secondary Hyperparathyroidism,4
Vasospasm,4
Spondylolisthesis,4
"Syphilis, Latent",4
Tertiary Syphilis,4
"Tuberculosis, Latent",4
Typhoid Fever,4
Urinary Alkalinization,4
Venous Thromboembolism,4
